年份,面上项目数量,面上项目金额_万元,青年基金数量,青年基金金额_万元,地区基金数量,地区基金金额_万元,澳门合作项目数量,澳门合作项目金额_万元,俄罗斯合作项目数量,俄罗斯合作项目金额_万元,2020年总金额_万元,2020年总项目数
2020,3309.0,192398.0,3127.0,74560.0,393.0,13750.0,,,,,280708.0,6829.0
2026,,,,,,,20.0,200.0,50.0,150.0,,
